prefix,URI,Note
base,http://example.org/terms#,default
ex,http://example.org/,example
sh,http://www.w3.org/ns/shacl#,SHACL
adms,http://www.w3.org/ns/adms#,
dcat,http://www.w3.org/ns/dcat#,
dcatap,http://data.europa.eu/r5r/,
dct,http://purl.org/dc/terms/,DCMI Metadata Terms
foaf,http://xmlns.com/foaf/0.1/,Friend of a Friend
locn,http://www.w3.org/ns/locn#,
owl,http://www.w3.org/2002/07/owl#,
odrl,http://www.w3.org/ns/odrl/2/,
prov,http://www.w3.org/ns/prov#,
rdf,http://www.w3.org/1999/02/22-rdf-syntax-ns#,RDF
rdfs,http://www.w3.org/2000/01/rdf-schema#,RDF Schema
schema,http://schema.org/,
skos,http://www.w3.org/2004/02/skos/core#,Simple Knowledge Organization System
spdx,http://spdx.org/rdf/terms#,
xsd,http://www.w3.org/2001/XMLSchema#,XSD: use for data types
vann,http://purl.org/vocab/vann/,
voaf,http://purl.org/vocommons/voaf#,
vcard,http://www.w3.org/2006/vcard/ns#,
time,http://www.w3.org/2006/time#,